epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8112,2.27256,3.73905,1.80785,0.00235,0.2501,0.0233,0.00694,1.79946,3.58476,1.48084,0.0930007,7e-07,7e-07
2,42.8407,1.79381,2.7649,1.3181,0.036,0.41526,0.09333,0.03387,2.0562,3.09811,1.64829,0.0850015,1.49258e-06,1.49258e-06
3,52.7329,1.71192,1.96138,1.25326,0.00917,0.20847,0.02136,0.00627,2.28167,3.40268,1.76466,0.0770023,2.27723e-06,2.27723e-06
4,62.8545,1.72633,1.73102,1.27468,0.01648,0.34763,0.0383,0.01487,2.46235,3.38375,1.52449,0.0690031,3.05396e-06,3.05396e-06
5,72.6384,1.71457,1.61545,1.29242,0.02922,0.35399,0.02564,0.01022,2.64563,3.15306,1.55781,0.0610038,3.82278e-06,3.82278e-06
6,82.6584,1.68807,1.51021,1.27662,0.01521,0.33932,0.01903,0.00702,2.57287,3.273,1.44331,0.0530046,4.58368e-06,4.58368e-06
7,91.5039,1.66595,1.46381,1.29274,0.00636,0.21349,0.02434,0.01257,2.82382,3.45201,1.43701,0.0450053,5.33665e-06,5.33665e-06
8,101.171,1.70563,1.41915,1.28198,0.014,0.14766,0.03384,0.01773,3.08169,4.09522,1.52288,0.0370061,6.08171e-06,6.08171e-06
9,110.999,1.67027,1.39369,1.25815,0.0186,0.25947,0.08488,0.03927,2.61222,3.39742,1.44584,0.0290068,6.81884e-06,6.81884e-06
10,120.809,1.64748,1.35937,1.27182,0.02465,0.56806,0.26635,0.10594,2.11073,2.84228,1.3309,0.0210075,7.54806e-06,7.54806e-06
11,129.767,1.66027,1.35036,1.2775,0.80278,0.10825,0.44094,0.20322,1.83946,2.60892,1.25236,0.0130083,8.26935e-06,8.26935e-06
12,138.749,1.63814,1.34614,1.26471,0.7636,0.17312,0.47608,0.223,1.82889,2.4339,1.26333,0.00500898,8.98273e-06,8.98273e-06
13,148.139,1.66118,1.3575,1.26833,0.6551,0.33087,0.51971,0.25457,1.77675,2.19195,1.2732,9.406e-06,9.406e-06,9.406e-06
14,157.859,1.64543,1.33419,1.27225,0.64224,0.52228,0.58687,0.29807,1.68092,1.95504,1.26609,9.3565e-06,9.3565e-06,9.3565e-06
15,166.838,1.62882,1.31275,1.25077,0.62283,0.60508,0.62039,0.32014,1.66126,1.76568,1.27349,9.307e-06,9.307e-06,9.307e-06
16,176.034,1.62532,1.31031,1.2555,0.61242,0.60713,0.62156,0.32116,1.66467,1.62164,1.28695,9.2575e-06,9.2575e-06,9.2575e-06
17,185.887,1.62128,1.2971,1.24328,0.60619,0.63015,0.64043,0.32909,1.65494,1.52073,1.29188,9.208e-06,9.208e-06,9.208e-06
18,194.657,1.6307,1.31758,1.25354,0.60469,0.64653,0.64493,0.33694,1.63904,1.44361,1.2917,9.1585e-06,9.1585e-06,9.1585e-06
19,204.192,1.61474,1.30601,1.24705,0.59725,0.653,0.6459,0.34291,1.62834,1.39122,1.29463,9.109e-06,9.109e-06,9.109e-06
20,213.447,1.62532,1.29462,1.24448,0.61947,0.653,0.6575,0.3462,1.62625,1.35545,1.29712,9.0595e-06,9.0595e-06,9.0595e-06
21,223.297,1.62284,1.27772,1.24123,0.61669,0.64379,0.65308,0.34701,1.63461,1.33855,1.2997,9.01e-06,9.01e-06,9.01e-06
22,232.21,1.63764,1.28836,1.24991,0.64837,0.63444,0.66417,0.34931,1.62805,1.31945,1.30258,8.9605e-06,8.9605e-06,8.9605e-06
23,241.167,1.6223,1.26905,1.25286,0.6835,0.60418,0.66351,0.34958,1.6294,1.30466,1.30772,8.911e-06,8.911e-06,8.911e-06
24,250.867,1.63427,1.29776,1.2484,0.67911,0.61031,0.66059,0.34695,1.63102,1.29587,1.31037,8.8615e-06,8.8615e-06,8.8615e-06
25,260.51,1.5991,1.25979,1.23514,0.65565,0.62927,0.66563,0.34921,1.63316,1.28768,1.31276,8.812e-06,8.812e-06,8.812e-06
26,269.391,1.61361,1.27888,1.24618,0.68129,0.63166,0.67535,0.35352,1.63121,1.27854,1.31237,8.7625e-06,8.7625e-06,8.7625e-06
27,278.711,1.62612,1.24055,1.24425,0.68476,0.63329,0.6817,0.35889,1.62574,1.27296,1.3106,8.713e-06,8.713e-06,8.713e-06
28,287.941,1.61271,1.27312,1.23902,0.68381,0.62943,0.67677,0.35814,1.62346,1.28004,1.30721,8.6635e-06,8.6635e-06,8.6635e-06
29,297.288,1.61912,1.25315,1.23156,0.68152,0.61114,0.67048,0.36,1.62445,1.28435,1.30505,8.614e-06,8.614e-06,8.614e-06
30,306.627,1.60627,1.23417,1.22838,0.71951,0.60231,0.67433,0.3624,1.62721,1.27729,1.30676,8.5645e-06,8.5645e-06,8.5645e-06
31,315.644,1.61665,1.24379,1.22674,0.72828,0.60196,0.67604,0.36439,1.62475,1.27146,1.30763,8.515e-06,8.515e-06,8.515e-06
32,325.391,1.61035,1.25134,1.23118,0.7343,0.60052,0.67479,0.36449,1.62705,1.26404,1.30901,8.4655e-06,8.4655e-06,8.4655e-06
33,334.677,1.6039,1.25121,1.2229,0.74053,0.60385,0.68458,0.36598,1.62661,1.2623,1.30999,8.416e-06,8.416e-06,8.416e-06
34,344.112,1.62874,1.25749,1.24198,0.7385,0.59922,0.68323,0.36594,1.62751,1.26075,1.31175,8.3665e-06,8.3665e-06,8.3665e-06
